"strat_id","avg_returns","sum_num_trades","avg_win_rate","avg_holding_days","enterCRSI","enterLimitOrderBelow","enterRange","exitCRSI"
"1","1.23","958","75.98","13","10","1","100","30"
"2","1.23","951","76.1","13","10","1","100","50"
"3","1.31","931","76.43","14","10","1","100","60"
"4","1.6","889","79.84","17","10","1","100","70"
"5","1.21","774","75.52","11","10","1","25","30"
"6","1.23","767","74.94","11","10","1","25","50"
"7","1.35","757","76.01","13","10","1","25","60"
"8","1.72","719","81.4","17","10","1","25","70"
"9","1.24","912","76.02","11","10","1","50","30"
"10","1.24","906","76.16","12","10","1","50","50"
"11","1.33","895","76.57","13","10","1","50","60"
"12","1.62","850","79.72","17","10","1","50","70"
"13","1.22","946","75.73","12","10","1","75","30"
"14","1.22","939","75.87","13","10","1","75","50"
"15","1.3","921","76.2","14","10","1","75","60"
"16","1.6","880","79.69","17","10","1","75","70"
"17","1.53","439","77.85","12","10","2","100","30"
"18","1.52","436","77.54","13","10","2","100","50"
"19","1.67","420","79.19","15","10","2","100","60"
"20","2.04","396","85.58","20","10","2","100","70"
"21","1.57","332","79.06","10","10","2","25","30"
"22","1.54","330","77.41","11","10","2","25","50"
"23","1.75","319","79.74","13","10","2","25","60"
"24","2.25","300","85.61","18","10","2","25","70"
"25","1.52","417","78.27","10","10","2","50","30"
"26","1.51","414","77.3","11","10","2","50","50"
"27","1.67","401","79.41","13","10","2","50","60"
"28","2.07","379","85.15","18","10","2","50","70"
"29","1.52","433","77.49","12","10","2","75","30"
"30","1.51","430","77.17","12","10","2","75","50"
"31","1.65","414","78.63","15","10","2","75","60"
"32","2.04","390","85.15","19","10","2","75","70"
"33","2.64","90","87.06","13","10","4","100","30"
"34","2.6","90","86.1","13","10","4","100","50"
"35","2.83","86","86.7","14","10","4","100","60"
"36","3.24","84","90.28","18","10","4","100","70"
"37","2.91","71","85.92","11","10","4","25","30"
"38","2.85","71","84.69","12","10","4","25","50"
"39","3.26","69","85.86","12","10","4","25","60"
"40","3.66","67","88.6","16","10","4","25","70"
"41","2.97","86","87.72","11","10","4","50","30"
"42","2.93","86","86.7","11","10","4","50","50"
"43","3.19","82","87.37","12","10","4","50","60"
"44","3.55","80","89.71","16","10","4","50","70"
"45","2.67","88","86.72","12","10","4","75","30"
"46","2.63","88","85.74","13","10","4","75","50"
"47","2.86","84","86.33","14","10","4","75","60"
"48","3.28","82","90","17","10","4","75","70"
"49","3.16","30","82.76","14","10","6","100","30"
"50","3.05","30","82.76","14","10","6","100","50"
"51","3.29","29","85.71","15","10","6","100","60"
"52","4.06","29","92.86","22","10","6","100","70"
"53","3.4","20","80","7","10","6","25","30"
"54","3.09","20","80","7","10","6","25","50"
"55","3.46","19","84.21","7","10","6","25","60"
"56","4.4","19","94.74","21","10","6","25","70"
"57","3.32","27","84.62","9","10","6","50","30"
"58","3.19","27","84.62","10","10","6","50","50"
"59","3.47","26","88","10","10","6","50","60"
"60","4.33","26","96","18","10","6","50","70"
"61","3.31","29","85.71","14","10","6","75","30"
"62","3.2","29","85.71","15","10","6","75","50"
"63","3.45","28","88.89","15","10","6","75","60"
"64","4.25","28","96.3","22","10","6","75","70"
"65","2.45","10","88.89","20","10","8","100","30"
"66","2.5","10","88.89","20","10","8","100","50"
"67","3.13","10","88.89","20","10","8","100","60"
"68","3.38","9","81.25","31","10","8","100","70"
"69","2.85","7","85.71","5","10","8","25","30"
"70","2.91","7","85.71","5","10","8","25","50"
"71","3.72","7","85.71","6","10","8","25","60"
"72","3.76","6","66.67","23","10","8","25","70"
"73","2.51","9","87.5","5","10","8","50","30"
"74","2.56","9","87.5","5","10","8","50","50"
"75","3.27","9","87.5","6","10","8","50","60"
"76","3.57","8","78.57","15","10","8","50","70"
"77","2.45","10","88.89","20","10","8","75","30"
"78","2.5","10","88.89","20","10","8","75","50"
"79","3.13","10","88.89","20","10","8","75","60"
"80","3.38","9","81.25","31","10","8","75","70"
"81","1.21","2359","75.58","12","15","1","100","30"
"82","1.25","2337","76.16","13","15","1","100","50"
"83","1.34","2275","77.25","14","15","1","100","60"
"84","1.72","2126","81.83","18","15","1","100","70"
"85","1.17","1932","74.1","10","15","1","25","30"
"86","1.22","1912","74.9","10","15","1","25","50"
"87","1.3","1867","75.66","12","15","1","25","60"
"88","1.73","1733","81.96","17","15","1","25","70"
"89","1.22","2280","75.64","11","15","1","50","30"
"90","1.26","2262","76.31","11","15","1","50","50"
"91","1.35","2204","77.35","12","15","1","50","60"
"92","1.74","2051","82.04","17","15","1","50","70"
"93","1.21","2348","75.64","12","15","1","75","30"
"94","1.25","2327","76.24","12","15","1","75","50"
"95","1.34","2265","77.3","14","15","1","75","60"
"96","1.72","2115","81.86","18","15","1","75","70"
"97","1.45","1080","78.14","11","15","2","100","30"
"98","1.46","1072","77.94","12","15","2","100","50"
"99","1.56","1038","79.03","13","15","2","100","60"
"100","1.93","978","83.88","17","15","2","100","70"
"101","1.48","832","78.28","9","15","2","25","30"
"102","1.51","826","77.82","10","15","2","25","50"
"103","1.61","801","78.77","12","15","2","25","60"
"104","2.1","745","83.57","15","15","2","25","70"
"105","1.46","1021","78.05","10","15","2","50","30"
"106","1.47","1013","77.56","11","15","2","50","50"
"107","1.58","979","78.86","12","15","2","50","60"
"108","1.97","923","83.76","16","15","2","50","70"
"109","1.46","1065","78.01","11","15","2","75","30"
"110","1.47","1057","77.8","12","15","2","75","50"
"111","1.57","1021","78.8","13","15","2","75","60"
"112","1.93","962","83.71","17","15","2","75","70"
"113","2.44","220","86.99","10","15","4","100","30"
"114","2.43","219","86.44","10","15","4","100","50"
"115","2.62","209","85.84","11","15","4","100","60"
"116","3.04","202","87.57","16","15","4","100","70"
"117","2.62","173","86.2","9","15","4","25","30"
"118","2.59","172","85.52","9","15","4","25","50"
"119","2.85","165","86.28","10","15","4","25","60"
"120","3.34","160","88.87","15","15","4","25","70"
"121","2.55","210","87.37","9","15","4","50","30"
"122","2.54","209","86.8","9","15","4","50","50"
"123","2.73","200","86.28","10","15","4","50","60"
"124","3.16","194","87.06","16","15","4","50","70"
"125","2.47","217","86.82","10","15","4","75","30"
"126","2.45","216","86.27","10","15","4","75","50"
"127","2.65","206","85.65","11","15","4","75","60"
"128","3.08","199","87.4","16","15","4","75","70"
"129","2.9","73","82.58","10","15","6","100","30"
"130","2.83","73","82.58","11","15","6","100","50"
"131","3.1","69","83.59","11","15","6","100","60"
"132","3.87","69","91.41","17","15","6","100","70"
"133","2.83","57","79.81","7","15","6","25","30"
"134","2.71","57","79.81","7","15","6","25","50"
"135","2.96","53","79","7","15","6","25","60"
"136","4.03","53","89","16","15","6","25","70"
"137","3.1","71","83.59","8","15","6","50","30"
"138","3.03","71","83.59","9","15","6","50","50"
"139","3.21","67","83.06","9","15","6","50","60"
"140","4.05","67","91.13","15","15","6","50","70"
"141","2.95","72","83.85","10","15","6","75","30"
"142","2.88","72","83.85","11","15","6","75","50"
"143","3.06","68","83.33","11","15","6","75","60"
"144","3.88","68","91.27","17","15","6","75","70"
"145","1.79","24","77.27","14","15","8","100","30"
"146","1.81","24","77.27","14","15","8","100","50"
"147","2.08","24","72.73","15","15","8","100","60"
"148","2.38","23","78.57","23","15","8","100","70"
"149","1.76","18","70.59","6","15","8","25","30"
"150","1.78","18","70.59","6","15","8","25","50"
"151","2.06","18","64.71","7","15","8","25","60"
"152","2.62","17","68.75","16","15","8","25","70"
"153","1.78","23","76.19","8","15","8","50","30"
"154","1.8","23","76.19","8","15","8","50","50"
"155","2.08","23","71.43","9","15","8","50","60"
"156","2.4","22","77.5","17","15","8","50","70"
"157","1.79","24","77.27","14","15","8","75","30"
"158","1.81","24","77.27","14","15","8","75","50"
"159","2.08","24","72.73","15","15","8","75","60"
"160","2.38","23","78.57","23","15","8","75","70"
"161","1.21","4254","76.23","12","20","1","100","30"
"162","1.24","4183","76.69","13","20","1","100","50"
"163","1.37","3996","78.02","14","20","1","100","60"
